Date,Time,Value,Chart Type
3/12/2019,0:07:00,65,Chart B
3/12/2019,0:07:00,53,Chart F
3/12/2019,0:07:00,0,Chart G
3/12/2019,0:07:00,90,Chart I
3/12/2019,0:07:00,50,Chart J
3/12/2019,0:07:00,893,Chart K
3/12/2019,0:07:00,1598,Chart L
3/12/2019,0:07:00,14,Chart M
3/12/2019,0:07:00,0,Chart N
3/12/2019,0:07:20,2.6,Chart A
3/12/2019,0:07:20,4.7,Chart C
3/12/2019,0:07:20,12,Chart H
3/12/2019,0:07:20,0,Chart D
3/12/2019,0:07:20,65,Chart B
3/12/2019,0:07:20,52,Chart F
3/12/2019,0:07:20,0,Chart G
3/12/2019,0:07:20,90,Chart I
3/12/2019,0:07:20,50,Chart J
3/12/2019,0:07:20,900,Chart K
3/12/2019,0:07:20,1611,Chart L
3/12/2019,0:07:20,14,Chart M
3/12/2019,0:07:20,0,Chart N
3/12/2019,0:07:40,2.7,Chart A
3/12/2019,0:07:40,4.8,Chart C
3/12/2019,0:07:40,12,Chart H
3/12/2019,0:07:40,0,Chart D
3/12/2019,0:07:40,66,Chart B
3/12/2019,0:07:40,52,Chart F
3/12/2019,0:07:40,0,Chart G
3/12/2019,0:07:40,92,Chart I
3/12/2019,0:07:40,52,Chart J
3/12/2019,0:07:40,900,Chart K
3/12/2019,0:07:40,1610,Chart L
3/12/2019,0:07:40,13,Chart M
3/12/2019,0:07:40,0,Chart N
3/12/2019,0:08:00,2.7,Chart A
3/12/2019,0:08:00,4.8,Chart C
3/12/2019,0:08:00,12,Chart H
3/12/2019,0:08:00,0,Chart D
3/12/2019,0:08:00,66,Chart B
3/12/2019,0:08:00,52,Chart F
3/12/2019,0:08:00,0,Chart G
3/12/2019,0:08:00,92,Chart I
3/12/2019,0:08:00,51,Chart J
3/12/2019,0:08:00,912,Chart K
3/12/2019,0:08:00,1632,Chart L
3/12/2019,0:08:00,14,Chart M
3/12/2019,0:08:00,0,Chart N
3/12/2019,0:08:20,2.7,Chart A
3/12/2019,0:08:20,4.8,Chart C
3/12/2019,0:08:20,12,Chart H
3/12/2019,0:08:20,0,Chart D
3/12/2019,0:08:20,66,Chart B
3/12/2019,0:08:20,52,Chart F
3/12/2019,0:08:20,0,Chart G
3/12/2019,0:08:20,92,Chart I
3/12/2019,0:08:20,51,Chart J
3/12/2019,0:08:20,908,Chart K
3/12/2019,0:08:20,1625,Chart L
3/12/2019,0:08:20,14,Chart M
3/12/2019,0:08:20,0,Chart N
3/12/2019,0:08:40,2.7,Chart A
3/12/2019,0:08:40,4.8,Chart C
3/12/2019,0:08:40,12,Chart H
3/12/2019,0:08:40,0,Chart D
3/12/2019,0:08:40,68,Chart B
3/12/2019,0:08:40,52,Chart F
3/12/2019,0:08:40,0,Chart G
3/12/2019,0:08:40,92,Chart I
3/12/2019,0:08:40,51,Chart J
3/12/2019,0:08:40,938,Chart K
3/12/2019,0:08:40,1678,Chart L
3/12/2019,0:08:40,12,Chart M
3/12/2019,0:08:40,0,Chart N
3/12/2019,0:09:00,2.7,Chart A
3/12/2019,0:09:00,4.8,Chart C
3/12/2019,0:09:00,12,Chart H
3/12/2019,0:09:00,0,Chart D
3/12/2019,0:09:00,69,Chart B
3/12/2019,0:09:00,52,Chart F
3/12/2019,0:09:00,0,Chart G
3/12/2019,0:09:00,93,Chart I
3/12/2019,0:09:00,52,Chart J
